Date,000001.SS,BTC-USD,BZ=F,ETH-USD,GC=F,SI=F,TNX,USDTRY=X,XRP-USD,XU100.IS,^GDAXI,^GSPC,^N225,^NDX,^VIX,Regime
2021-03-15,3419.949951171875,55907.19921875,68.87999725341797,1791.7022705078125,1728.9000244140625,26.25300025939941,1.149999976158142,7.556000232696533,0.4375549852848053,1555.49169921875,14461.419921875,3968.93994140625,29766.970703125,13082.5400390625,20.030000686645508,0
2021-03-16,3446.73291015625,56804.90234375,68.38999938964844,1806.9718017578125,1730.5999755859375,25.974000930786133,1.149999976158142,7.530720233917236,0.4625999927520752,1570.3917236328125,14557.580078125,3962.7099609375,29921.08984375,13152.2802734375,19.790000915527344,0
2021-03-17,3445.551025390625,58870.89453125,68.0,1823.4493408203125,1726.800048828125,26.030000686645508,1.149999976158142,7.4882001876831055,0.4724169969558716,1562.0916748046875,14596.6103515625,3974.1201171875,29914.330078125,13202.3798828125,19.229999542236328,0
2021-03-18,3463.068115234375,57858.921875,63.27999877929688,1782.8551025390625,1732.199951171875,26.32099914550781,1.149999976158142,7.49429988861084,0.4729189872741699,1550.891845703125,14775.51953125,3915.4599609375,30216.75,12789.1396484375,21.57999992370605,2
2021-03-19,3404.659912109375,58346.65234375,64.52999877929688,1817.6241455078125,1741.4000244140625,26.29199981689453,1.149999976158142,7.320219993591309,0.4711709916591644,1528.991943359375,14621.0,3913.10009765625,29792.05078125,12866.990234375,20.950000762939453,0
2021-03-20,3404.659912109375,58313.64453125,64.52999877929688,1812.6346435546875,1741.4000244140625,26.29199981689453,1.149999976158142,7.320219993591309,0.5269910097122192,1528.991943359375,14621.0,3913.10009765625,29792.05078125,12866.990234375,20.950000762939453,0
2021-03-21,3404.659912109375,57523.421875,64.52999877929688,1788.217041015625,1741.4000244140625,26.29199981689453,1.149999976158142,7.320219993591309,0.5198349952697754,1528.991943359375,14621.0,3913.10009765625,29792.05078125,12866.990234375,20.950000762939453,0
2021-03-22,3443.43994140625,54529.14453125,64.62000274658203,1691.333984375,1737.800048828125,25.74099922180176,1.149999976158142,8.095390319824219,0.5499420166015625,1379.292724609375,14657.2099609375,3940.590087890625,29174.150390625,13086.509765625,18.8799991607666,2
2021-03-23,3411.510009765625,54738.9453125,60.790000915527344,1678.650146484375,1724.699951171875,25.200000762939453,1.149999976158142,7.825399875640869,0.5565950274467468,1377.3927001953125,14662.01953125,3910.52001953125,28995.919921875,13017.7900390625,20.299999237060547,0
2021-03-24,3367.06005859375,52774.265625,64.41000366210938,1593.4134521484375,1732.9000244140625,25.201000213623047,1.149999976158142,7.939599990844727,0.4888370037078857,1413.892578125,14610.3896484375,3889.139892578125,28405.51953125,12798.8798828125,21.200000762939453,0
2021-03-25,3363.590087890625,51704.16015625,61.95000076293945,1595.3592529296875,1724.9000244140625,25.02199935913086,1.149999976158142,7.911399841308594,0.5174980163574219,1394.392578125,14621.3603515625,3909.52001953125,28729.880859375,12780.509765625,19.809999465942383,0
2021-03-26,3418.326904296875,55137.3125,64.56999969482422,1702.842041015625,1732.199951171875,25.09199905395508,1.149999976158142,7.947999954223633,0.5670549869537354,1382.192626953125,14748.9404296875,3974.5400390625,29176.69921875,12979.1201171875,18.86000061035156,0
2021-03-27,3418.326904296875,55973.51171875,64.56999969482422,1716.49462890625,1732.199951171875,25.09199905395508,1.149999976158142,7.947999954223633,0.5504429936408997,1382.192626953125,14748.9404296875,3974.5400390625,29176.69921875,12979.1201171875,18.86000061035156,0
2021-03-28,3418.326904296875,55950.74609375,64.56999969482422,1691.35595703125,1732.199951171875,25.09199905395508,1.149999976158142,7.947999954223633,0.5507559776306152,1382.192626953125,14748.9404296875,3974.5400390625,29176.69921875,12979.1201171875,18.86000061035156,0
2021-03-29,3435.300048828125,57750.19921875,64.9800033569336,1819.6849365234373,1712.0999755859375,24.746999740600582,1.149999976158142,8.118200302124023,0.5678709745407104,1392.592529296875,14817.7197265625,3971.090087890625,29384.51953125,12965.740234375,20.739999771118164,2
2021-03-30,3456.679931640625,58917.69140625,64.13999938964844,1846.03369140625,1683.9000244140625,24.121000289916992,1.149999976158142,8.243490219116211,0.5668590068817139,1395.7926025390625,15008.6103515625,3958.550048828125,29432.69921875,12896.5302734375,19.61000061035156,0
2021-03-31,3441.909912109375,58918.83203125,63.540000915527344,1918.362060546875,1713.800048828125,24.517000198364254,1.149999976158142,8.324700355529785,0.573868989944458,1391.692626953125,15008.33984375,3972.889892578125,29178.80078125,13091.4404296875,19.399999618530277,0
2021-04-01,3466.330078125,59095.80859375,64.86000061035156,1977.27685546875,1726.5,24.934999465942383,1.149999976158142,8.241889953613281,0.5792919993400574,1426.5924072265625,15107.169921875,4019.8701171875,29388.869140625,13329.51953125,17.329999923706055,0
2021-04-02,3484.39208984375,59384.3125,64.86000061035156,2143.2255859375,1726.5,24.934999465942383,1.149999976158142,8.106969833374023,0.6165689826011658,1426.5924072265625,15107.169921875,4019.8701171875,29854.0,13329.51953125,17.329999923706055,0
2021-04-03,3484.39208984375,57603.890625,64.86000061035156,2028.4224853515625,1726.5,24.934999465942383,1.149999976158142,8.106969833374023,0.5909150242805481,1426.5924072265625,15107.169921875,4019.8701171875,29854.0,13329.51953125,17.329999923706055,0
2021-04-04,3484.39208984375,58758.5546875,64.86000061035156,2093.122802734375,1726.5,24.934999465942383,1.149999976158142,8.106969833374023,0.6467289924621582,1426.5924072265625,15107.169921875,4019.8701171875,29854.0,13329.51953125,17.329999923706055,0
2021-04-05,3484.39208984375,59057.87890625,62.150001525878906,2107.88720703125,1727.0,24.76300048828125,1.149999976158142,8.184000015258789,0.9204729795455932,1442.09228515625,15107.169921875,4077.909912109375,30089.25,13598.16015625,17.90999984741211,0
2021-04-06,3482.969970703125,58192.359375,62.7400016784668,2118.37890625,1741.5,25.21199989318848,1.149999976158142,8.11340045928955,1.0962660312652588,1420.5924072265625,15212.6796875,4073.93994140625,29696.630859375,13578.4599609375,18.1200008392334,2
2021-04-07,3479.6298828125,56048.9375,63.15999984741211,1971.0772705078125,1740.0999755859375,25.232999801635746,1.149999976158142,8.14490032196045,0.917576014995575,1417.8924560546875,15176.3603515625,4079.949951171875,29730.7890625,13616.7001953125,17.15999984741211,0
2021-04-08,3482.550048828125,58323.953125,63.20000076293945,2088.57373046875,1756.800048828125,25.569000244140625,1.149999976158142,8.14387035369873,1.0527559518814087,1416.5924072265625,15202.6796875,4097.169921875,29708.98046875,13758.509765625,16.950000762939453,0
2021-04-09,3450.679931640625,58245.00390625,62.95000076293945,2072.10888671875,1743.300048828125,25.31100082397461,1.149999976158142,8.12952995300293,1.0208369493484497,1393.1925048828125,15234.16015625,4128.7998046875,29768.060546875,13845.0595703125,16.690000534057617,2
2021-04-10,3450.679931640625,59793.234375,62.95000076293945,2135.942138671875,1743.300048828125,25.31100082397461,1.149999976158142,8.12952995300293,1.3744159936904907,1393.1925048828125,15234.16015625,4128.7998046875,29768.060546875,13845.0595703125,16.690000534057617,0
2021-04-11,3450.679931640625,60204.96484375,62.95000076293945,2157.656982421875,1743.300048828125,25.31100082397461,1.149999976158142,8.12952995300293,1.3605300188064575,1393.1925048828125,15234.16015625,4128.7998046875,29768.060546875,13845.0595703125,16.690000534057617,0
2021-04-12,3412.949951171875,59893.453125,63.27999877929688,2139.353271484375,1731.199951171875,24.85300064086914,1.149999976158142,8.170999526977539,1.4677350521087646,1375.8927001953125,15215.0,4127.990234375,29538.73046875,13819.349609375,16.90999984741211,2
2021-04-13,3396.469970703125,63503.45703125,63.66999816894531,2299.187744140625,1746.199951171875,25.41699981689453,1.149999976158142,8.154500007629395,1.7940009832382202,1378.3927001953125,15234.3603515625,4141.58984375,29751.609375,13986.490234375,16.649999618530273,0
2021-04-14,3416.719970703125,63109.6953125,66.58000183105469,2435.10498046875,1734.9000244140625,25.51499938964844,1.149999976158142,8.107099533081055,1.83923602104187,1409.1925048828125,15209.150390625,4124.66015625,29620.990234375,13803.91015625,16.989999771118164,0
2021-04-15,3398.989990234375,63314.01171875,66.94000244140625,2519.1162109375,1765.4000244140625,25.95599937438965,1.149999976158142,8.080300331115723,1.7660670280456543,1407.7926025390625,15255.330078125,4170.419921875,29642.689453125,14026.1904296875,16.56999969482422,0
2021-04-16,3426.6201171875,61572.7890625,66.7699966430664,2431.946533203125,1779.0,26.099000930786133,1.149999976158142,8.028800010681152,1.55752694606781,1408.092529296875,15459.75,4185.47021484375,29683.369140625,14041.91015625,16.25,0
2021-04-17,3426.6201171875,60683.8203125,66.7699966430664,2344.89501953125,1779.0,26.099000930786133,1.149999976158142,8.028800010681152,1.5600550174713137,1408.092529296875,15459.75,4185.47021484375,29683.369140625,14041.91015625,16.25,0
2021-04-18,3426.6201171875,56216.18359375,66.7699966430664,2237.136962890625,1779.0,26.099000930786133,1.149999976158142,8.028800010681152,1.4059979915618896,1408.092529296875,15459.75,4185.47021484375,29683.369140625,14041.91015625,16.25,0
2021-04-19,3477.550048828125,55724.265625,67.05000305175781,2166.188720703125,1769.4000244140625,25.83099937438965,1.149999976158142,8.076199531555176,1.3150440454483032,1377.192626953125,15368.3896484375,4163.259765625,29685.369140625,13907.669921875,17.290000915527344,2
